"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"1"	"TCGA.37.A5EN.01A.21R.A26W.07"	"E1"	0.00400910470646782	0.0163257135638386	TRUE	"E1"
"4"	"TCGA.34.5240.01A.01R.1443.07"	"E1"	0.0737192000625998	0.127102069073448	TRUE	"E1"
"27"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"E1"	0.00197252135205137	0.0102735487086009	TRUE	"E1"
"28"	"TCGA.94.8490.01A.11R.2326.07"	"E1"	0.0373362918122531	0.0834840423701137	TRUE	"E1"
"31"	"TCGA.63.7023.01A.11R.1949.07"	"E1"	0.0111398346099407	0.0340315987319385	TRUE	"E1"
"43"	"TCGA.66.2800.01A.01R.1201.07"	"E1"	0.152024184213593	0.198984534310986	TRUE	"E1"
"65"	"TCGA.22.4613.01A.01R.1443.07"	"E1"	0.00623750942747696	0.0226770773873207	TRUE	"E1"
"81"	"TCGA.22.5473.01A.01R.1635.07"	"E1"	0.173391226610173	0.218928316426986	TRUE	"E1"
"95"	"TCGA.85.A4CL.01A.41R.A26W.07"	"E1"	0.0810011320909981	0.135477217514993	TRUE	"E1"
"97"	"TCGA.63.A5MB.01A.11R.A26W.07"	"E1"	0.000599323696155806	0.00440679188349857	TRUE	"E1"
"98"	"TCGA.L3.A524.01A.11R.A262.07"	"E1"	0.00117693604981412	0.00754446185778285	TRUE	"E1"
"102"	"TCGA.56.8308.01A.11R.2296.07"	"E1"	3.36370978126183e-06	4.20463722657729e-05	TRUE	"E1"
"107"	"TCGA.63.5128.01A.01R.1443.07"	"E1"	0.097488919292001	0.147871657044875	TRUE	"E1"
"111"	"TCGA.85.8052.01A.11R.2247.07"	"E1"	0.00432538396063297	0.0166360921562806	TRUE	"E1"
"117"	"TCGA.51.4080.01A.01R.1100.07"	"E1"	0.0932826373435342	0.14484881575083	TRUE	"E1"
"126"	"TCGA.63.A5MW.01A.11R.A26W.07"	"E1"	0.17331173797775	0.218928316426986	TRUE	"E1"
"127"	"TCGA.22.5471.01A.01R.1635.07"	"E1"	0.0115898916955666	0.0340879167516666	TRUE	"E1"
"134"	"TCGA.77.8133.01A.12R.2247.07"	"E1"	0.00627022481745229	0.0226770773873207	TRUE	"E1"
"141"	"TCGA.58.A46N.01A.11R.A24H.07"	"E1"	0.0650754247853014	0.116206115688038	TRUE	"E1"
"142"	"TCGA.34.8456.01A.21R.2326.07"	"E1"	0.00297786783411266	0.0140465463873239	TRUE	"E1"
"151"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"E1"	6.68676969139055e-05	0.000619145341795421	TRUE	"E1"
"153"	"TCGA.O2.A52S.01A.11R.A262.07"	"E1"	2.55035082139501e-11	5.856081643927e-09	TRUE	"E1"
"156"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"E1"	0.0270845538611995	0.0657392084009696	TRUE	"E1"
"163"	"TCGA.77.8009.01A.11R.2187.07"	"E1"	0.0419266574880998	0.0880812132102936	TRUE	"E1"
"179"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"E1"	0.0154948426959728	0.0416528029461635	TRUE	"E1"
"185"	"TCGA.70.6723.01A.11R.1820.07"	"E1"	0.0593985325970725	0.110818157830359	TRUE	"E1"
"205"	"TCGA.77.8128.01A.11R.2247.07"	"E1"	0.0117871390330958	0.0342649390496972	TRUE	"E1"
"222"	"TCGA.39.5021.01A.01R.1443.07"	"E1"	0.0142088148106496	0.0390352055237627	TRUE	"E1"
"18"	"TCGA.50.6590.01A.12R.1858.07"	"E2"	0.00236318113914165	0.0115842212703022	TRUE	"E2"
"23"	"TCGA.18.3410.01A.01R.0980.07"	"E2"	0.134404802218205	0.182615220405169	TRUE	"E2"
"29"	"TCGA.69.7761.01A.11R.2170.07"	"E2"	0.00700719996872201	0.0241221822628976	TRUE	"E2"
"30"	"TCGA.MP.A4T4.01A.11R.A262.07"	"E2"	0.00184741119245859	0.0100402782198837	TRUE	"E2"
