"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"1"	"SMC01-N"	"E1"	0.000431791016734793	0.00631574057644968	TRUE	"E1"
"3"	"SMC02-N"	"E1"	0.156778015844423	0.191617574920962	TRUE	"E1"
"5"	"SMC03-N"	"E1"	0.0101967683054271	0.0429707920225782	TRUE	"E1"
"9"	"SMC05-N"	"E1"	0.0023312007589917	0.0153859250093452	TRUE	"E1"
"10"	"SMC05-T"	"E1"	0.0574531812607453	0.0902835705525997	TRUE	"E1"
"13"	"SMC07-N"	"E1"	0.023809782697269	0.0532837770584729	TRUE	"E1"
"15"	"SMC08-N"	"E1"	3.21702534183656e-05	0.00106161836280606	TRUE	"E1"
"27"	"SMC19-T"	"E1"	0.0178580699591709	0.0532837770584729	TRUE	"E1"
"12"	"SMC06-T"	"E3"	0.155410005183536	0.191617574920962	TRUE	"E3"
"16"	"SMC08-T"	"E3"	0.0541152118582406	0.0892900995660971	TRUE	"E3"
"23"	"SMC15-T"	"E3"	0.112365367208241	0.159846977070623	TRUE	"E3"
"2"	"SMC01-T"	"E4"	0.0120359419969061	0.0441317873219891	TRUE	"E4"
"4"	"SMC02-T"	"E4"	0.000574158234222698	0.00631574057644968	TRUE	"E4"
"8"	"SMC04-T"	"E4"	0.0210979743888078	0.0532837770584729	TRUE	"E4"
"14"	"SMC07-T"	"E4"	0.047745760530222	0.087533894305407	TRUE	"E4"
"20"	"SMC10-T"	"E4"	0.0242198986629422	0.0532837770584729	TRUE	"E4"
"25"	"SMC17-T"	"E4"	0.0515421777158363	0.0892900995660971	TRUE	"E4"
"26"	"SMC18-T"	"E4"	0.251282234748025	0.276410458222827	TRUE	"E4"
"30"	"SMC22-T"	"E4"	0.365344409697964	0.376761422501025	TRUE	"E4"
"32"	"SMC24-T"	"E4"	0.153737203884987	0.191617574920962	TRUE	"E4"
"21"	"SMC11-T"	"E5"	0.0410838794912436	0.0847355014506899	TRUE	"E5"
"29"	"SMC21-T"	"E5"	0.221386585311298	0.251922666043891	TRUE	"E5"
"31"	"SMC23-T"	"E5"	0.019890799655302	0.0532837770584729	TRUE	"E5"
"33"	"SMC25-T"	"E5"	0.177833992833833	0.209590062982732	TRUE	"E5"
"7"	"SMC04-N"	"E6"	0.00666044864548721	0.0366324675501797	TRUE	"E6"
"11"	"SMC06-N"	"E6"	0.112943859284406	0.159846977070623	TRUE	"E6"
"17"	"SMC09-N"	"E6"	0.0104171617024432	0.0429707920225782	TRUE	"E6"
"19"	"SMC10-N"	"E6"	0.00108317606743988	0.00893620255637905	TRUE	"E6"
"22"	"SMC14-T"	"E7"	0.266355528986626	0.283539756663182	TRUE	"E7"
"24"	"SMC16-T"	"E7"	0.525652742211048	0.525652742211048	TRUE	"E7"
"28"	"SMC20-T"	"E7"	0.0451667623518952	0.087533894305407	TRUE	"E7"
"6"	"SMC03-T"	"E8"	0.0145164966038622	0.0479044387927452	TRUE	"E8"
