"ID"	"Tissue"	"Histology"	"State"
"TCGA.55.A48X.01A.11R.A24H.07"	"TCGA.55.A48X.01A.11R.A24H.07"	"Tumor"	"LUAD"	"S01"
"TCGA.86.7701.01A.11R.2170.07"	"TCGA.86.7701.01A.11R.2170.07"	"Tumor"	"LUAD"	"S01"
"TCGA.B6.A0RT.01A.21R.A084.07"	"TCGA.B6.A0RT.01A.21R.A084.07"	"Tumor"	"BRCA"	"S01"
"TCGA.C8.A26Y.01A.11R.A16F.07"	"TCGA.C8.A26Y.01A.11R.A16F.07"	"Tumor"	"BRCA"	"S01"
"TCGA.DK.A3WY.01A.11R.A22U.07"	"TCGA.DK.A3WY.01A.11R.A22U.07"	"Tumor"	"BLCA"	"S01"
"TCGA.J4.A6G1.01A.11R.A311.07"	"TCGA.J4.A6G1.01A.11R.A311.07"	"Tumor"	"PRAD"	"S01"
"TCGA.BB.4223.01A.01R.1436.07"	"TCGA.BB.4223.01A.01R.1436.07"	"Tumor"	"HNSC"	"S01"
"TCGA.C8.A12V.01A.11R.A115.07"	"TCGA.C8.A12V.01A.11R.A115.07"	"Tumor"	"BRCA"	"S01"
"TCGA.EJ.A7NN.01A.11R.A33R.07"	"TCGA.EJ.A7NN.01A.11R.A33R.07"	"Tumor"	"PRAD"	"S01"
"TCGA.CR.7393.01A.11R.2016.07"	"TCGA.CR.7393.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.AA.3531.11A.01R.A32Z.07"	"TCGA.AA.3531.11A.01R.A32Z.07"	"Normal"	"COAD"	"S01"
"TCGA.22.4594.01A.01R.1201.07"	"TCGA.22.4594.01A.01R.1201.07"	"Tumor"	"LUSC"	"S01"
"TCGA.UY.A78K.01A.11R.A33J.07"	"TCGA.UY.A78K.01A.11R.A33J.07"	"Tumor"	"BLCA"	"S01"
"TCGA.2H.A9GL.01A.12R.A37I.31"	"TCGA.2H.A9GL.01A.12R.A37I.31"	"Tumor"	"ESCA"	"S01"
"TCGA.CR.6478.01A.11R.1873.07"	"TCGA.CR.6478.01A.11R.1873.07"	"Tumor"	"HNSC"	"S01"
"TCGA.L5.A4OM.11A.11R.A260.31"	"TCGA.L5.A4OM.11A.11R.A260.31"	"Normal"	"ESCA"	"S01"
