"ID"	"Tissue"	"Histology"	"State"
"TCGA.HC.7079.01A.11R.1965.07"	"TCGA.HC.7079.01A.11R.1965.07"	"Tumor"	"PRAD"	"S01"
"TCGA.BH.A0B6.01A.11R.A19W.07"	"TCGA.BH.A0B6.01A.11R.A19W.07"	"Tumor"	"BRCA"	"S01"
"TCGA.YL.A8HO.01A.11R.A36G.07"	"TCGA.YL.A8HO.01A.11R.A36G.07"	"Tumor"	"PRAD"	"S01"
"TCGA.K4.A5RI.11A.11R.A28M.07"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"Normal"	"BLCA"	"S01"
"TCGA.A8.A0A7.01A.11R.A00Z.07"	"TCGA.A8.A0A7.01A.11R.A00Z.07"	"Tumor"	"BRCA"	"S01"
"TCGA.93.A4JO.01A.21R.A24X.07"	"TCGA.93.A4JO.01A.21R.A24X.07"	"Tumor"	"LUAD"	"S01"
"TCGA.VQ.A8PQ.01A.11R.A414.31"	"TCGA.VQ.A8PQ.01A.11R.A414.31"	"Tumor"	"STAD"	"S01"
"TCGA.E2.A15K.01A.11R.A12P.07"	"TCGA.E2.A15K.01A.11R.A12P.07"	"Tumor"	"BRCA"	"S01"
"TCGA.EM.A3SU.06A.11R.A22U.07"	"TCGA.EM.A3SU.06A.11R.A22U.07"	"Tumor"	"THCA"	"S01"
"TCGA.LL.A5YO.01A.21R.A28M.07"	"TCGA.LL.A5YO.01A.21R.A28M.07"	"Tumor"	"BRCA"	"S01"
"TCGA.CN.4739.01A.02R.1514.07"	"TCGA.CN.4739.01A.02R.1514.07"	"Tumor"	"HNSC"	"S01"
"TCGA.A2.A0EQ.01A.11R.A034.07"	"TCGA.A2.A0EQ.01A.11R.A034.07"	"Tumor"	"BRCA"	"S01"
"TCGA.50.5055.01A.01R.1628.07"	"TCGA.50.5055.01A.01R.1628.07"	"Tumor"	"LUAD"	"S01"
"TCGA.RD.A8N1.01A.12R.A36D.31"	"TCGA.RD.A8N1.01A.12R.A36D.31"	"Tumor"	"STAD"	"S01"
"TCGA.VP.A87C.01A.11R.A352.07"	"TCGA.VP.A87C.01A.11R.A352.07"	"Tumor"	"PRAD"	"S01"
"TCGA.85.A4PA.01A.11R.A24Z.07"	"TCGA.85.A4PA.01A.11R.A24Z.07"	"Tumor"	"LUSC"	"S01"
"TCGA.AA.3534.11A.01R.A32Z.07"	"TCGA.AA.3534.11A.01R.A32Z.07"	"Normal"	"COAD"	"S01"
"TCGA.MX.A5UG.01A.21R.A31P.31"	"TCGA.MX.A5UG.01A.21R.A31P.31"	"Tumor"	"STAD"	"S01"
"TCGA.VQ.A923.01A.11R.A414.31"	"TCGA.VQ.A923.01A.11R.A414.31"	"Tumor"	"STAD"	"S01"
"TCGA.AN.A0XS.01A.22R.A109.07"	"TCGA.AN.A0XS.01A.22R.A109.07"	"Tumor"	"BRCA"	"S01"
"TCGA.FB.A4P5.01A.11R.A26U.07"	"TCGA.FB.A4P5.01A.11R.A26U.07"	"Tumor"	"PAAD"	"S01"
"TCGA.24.2288.01A.01R.1568.13"	"TCGA.24.2288.01A.01R.1568.13"	"Tumor"	"OV"	"S01"
