"ID"	"Tissue"	"Histology"	"State"
"TCGA.BA.5559.01A.01R.1514.07"	"TCGA.BA.5559.01A.01R.1514.07"	"Tumor"	"HNSC"	"S01"
"TCGA.A2.A0YI.01A.31R.A10J.07"	"TCGA.A2.A0YI.01A.31R.A10J.07"	"Tumor"	"BRCA"	"S01"
"TCGA.CR.6488.01A.12R.2081.07"	"TCGA.CR.6488.01A.12R.2081.07"	"Tumor"	"HNSC"	"S01"
"TCGA.L9.A8F4.01A.11R.A39D.07"	"TCGA.L9.A8F4.01A.11R.A39D.07"	"Tumor"	"LUAD"	"S01"
"TCGA.YL.A8SH.01B.11R.A37L.07"	"TCGA.YL.A8SH.01B.11R.A37L.07"	"Tumor"	"PRAD"	"S01"
"TCGA.D6.8568.01A.11R.2403.07"	"TCGA.D6.8568.01A.11R.2403.07"	"Tumor"	"HNSC"	"S01"
"TCGA.UC.A7PF.01A.11R.A352.07"	"TCGA.UC.A7PF.01A.11R.A352.07"	"Tumor"	"CESC"	"S01"
"TCGA.CV.7102.01A.11R.2016.07"	"TCGA.CV.7102.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.EJ.7786.01A.11R.2118.07"	"TCGA.EJ.7786.01A.11R.2118.07"	"Tumor"	"PRAD"	"S01"
"TCGA.EJ.7123.11A.01R.1965.07"	"TCGA.EJ.7123.11A.01R.1965.07"	"Normal"	"PRAD"	"S01"
"TCGA.H7.A6C4.11A.21R.A466.07"	"TCGA.H7.A6C4.11A.21R.A466.07"	"Normal"	"HNSC"	"S01"
"TCGA.CV.7091.11A.01R.2016.07"	"TCGA.CV.7091.11A.01R.2016.07"	"Normal"	"HNSC"	"S01"
"TCGA.H7.A6C4.01A.11R.A30B.07"	"TCGA.H7.A6C4.01A.11R.A30B.07"	"Tumor"	"HNSC"	"S01"
"TCGA.CV.7097.01A.11R.2016.07"	"TCGA.CV.7097.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.BA.A6DB.01A.11R.A30B.07"	"TCGA.BA.A6DB.01A.11R.A30B.07"	"Tumor"	"HNSC"	"S01"
"TCGA.CN.6016.01A.11R.1686.07"	"TCGA.CN.6016.01A.11R.1686.07"	"Tumor"	"HNSC"	"S01"
"TCGA.5N.A9KI.01A.31R.A42T.07"	"TCGA.5N.A9KI.01A.31R.A42T.07"	"Tumor"	"BLCA"	"S01"
"TCGA.VN.A88P.01A.11R.A352.07"	"TCGA.VN.A88P.01A.11R.A352.07"	"Tumor"	"PRAD"	"S01"
"TCGA.CQ.6224.01A.11R.1915.07"	"TCGA.CQ.6224.01A.11R.1915.07"	"Tumor"	"HNSC"	"S01"
"TCGA.WA.A7H4.01A.21R.A34R.07"	"TCGA.WA.A7H4.01A.21R.A34R.07"	"Tumor"	"HNSC"	"S01"
