"ID"	"COO"	"State"
"DLBCL10527"	"DLBCL10527"	"Unclass"	"S01"
"DLBCL11000"	"DLBCL11000"	"ABC"	"S01"
"DLBCL11480"	"DLBCL11480"	"ABC"	"S01"
"DLBCL10839"	"DLBCL10839"	"ABC"	"S01"
"DLBCL11676"	"DLBCL11676"	"GCB"	"S01"
"DLBCL10479"	"DLBCL10479"	"ABC"	"S01"
"DLBCL11256"	"DLBCL11256"	"ABC"	"S01"
"DLBCL10521"	"DLBCL10521"	"ABC"	"S01"
"DLBCL10533"	"DLBCL10533"	"ABC"	"S01"
"DLBCL10973"	"DLBCL10973"	"ABC"	"S01"
"DLBCL11503"	"DLBCL11503"	"ABC"	"S01"
"DLBCL10496"	"DLBCL10496"	"Unclass"	"S01"
"DLBCL10889"	"DLBCL10889"	"ABC"	"S01"
"DLBCL10974"	"DLBCL10974"	"ABC"	"S01"
"CTSP.ACY6"	"CTSP.ACY6"	NA	"S01"
"CTSP.AD05"	"CTSP.AD05"	NA	"S01"
"DLBCL10931"	"DLBCL10931"	"ABC"	"S01"
"DLBCL11208"	"DLBCL11208"	"Unclass"	"S01"
"DLBCL11437"	"DLBCL11437"	"Unclass"	"S01"
"DLBCL10455"	"DLBCL10455"	"Unclass"	"S01"
"DLBCL10925"	"DLBCL10925"	"ABC"	"S01"
"DLBCL11195"	"DLBCL11195"	"ABC"	"S01"
"DLBCL11518"	"DLBCL11518"	"Unclass"	"S01"
"DLBCL11205"	"DLBCL11205"	"ABC"	"S01"
"DLBCL11202"	"DLBCL11202"	"Unclass"	"S01"
"CTSP.AD4K"	"CTSP.AD4K"	NA	"S01"
"DLBCL11491"	"DLBCL11491"	"ABC"	"S01"
"DLBCL11561"	"DLBCL11561"	"GCB"	"S01"
"DLBCL11510"	"DLBCL11510"	"GCB"	"S01"
"DLBCL10979"	"DLBCL10979"	"Unclass"	"S01"
"DLBCL10488"	"DLBCL10488"	"Unclass"	"S01"
"DLBCL10537"	"DLBCL10537"	"GCB"	"S01"
"DLBCL10957"	"DLBCL10957"	"Unclass"	"S01"
"DLBCL11596"	"DLBCL11596"	"ABC"	"S01"
"DLBCL11447"	"DLBCL11447"	"ABC"	"S01"
"DLBCL11486"	"DLBCL11486"	"ABC"	"S01"
"DLBCL11487"	"DLBCL11487"	"ABC"	"S01"
"DLBCL11674"	"DLBCL11674"	"Unclass"	"S01"
"DLBCL10936"	"DLBCL10936"	"Unclass"	"S01"
"DLBCL11535"	"DLBCL11535"	"GCB"	"S01"
"DLBCL10958"	"DLBCL10958"	"Unclass"	"S01"
"DLBCL10946"	"DLBCL10946"	"Unclass"	"S01"
"DLBCL10982"	"DLBCL10982"	"ABC"	"S01"
"DLBCL11456"	"DLBCL11456"	"Unclass"	"S01"
"DLBCL10835"	"DLBCL10835"	"ABC"	"S01"
"DLBCL10516"	"DLBCL10516"	"ABC"	"S01"
"DLBCL10892"	"DLBCL10892"	"ABC"	"S01"
"DLBCL11004"	"DLBCL11004"	"ABC"	"S01"
"DLBCL10942"	"DLBCL10942"	"Unclass"	"S01"
"DLBCL10504"	"DLBCL10504"	"Unclass"	"S01"
"DLBCL11459"	"DLBCL11459"	"Unclass"	"S01"
"DLBCL10474"	"DLBCL10474"	"ABC"	"S01"
"DLBCL11595"	"DLBCL11595"	"ABC"	"S01"
"DLBCL10525"	"DLBCL10525"	"ABC"	"S01"
"DLBCL10960"	"DLBCL10960"	"Unclass"	"S01"
"DLBCL11211"	"DLBCL11211"	"ABC"	"S01"
"DLBCL10858"	"DLBCL10858"	"ABC"	"S01"
"DLBCL10948"	"DLBCL10948"	"ABC"	"S01"
"DLBCL11446"	"DLBCL11446"	"Unclass"	"S01"
"DLBCL10932"	"DLBCL10932"	"ABC"	"S01"
"DLBCL10834"	"DLBCL10834"	"ABC"	"S01"
"CTSP.AD14"	"CTSP.AD14"	NA	"S01"
"DLBCL10920"	"DLBCL10920"	"ABC"	"S01"
"DLBCL10923"	"DLBCL10923"	"ABC"	"S01"
"DLBCL10861"	"DLBCL10861"	"ABC"	"S01"
"DLBCL11570"	"DLBCL11570"	"GCB"	"S01"
"DLBCL10855"	"DLBCL10855"	"ABC"	"S01"
"DLBCL10991"	"DLBCL10991"	"ABC"	"S01"
"DLBCL10938"	"DLBCL10938"	"ABC"	"S01"
"CTSP.B02E"	"CTSP.B02E"	NA	"S01"
"DLBCL10836"	"DLBCL10836"	"ABC"	"S01"
"DLBCL11181"	"DLBCL11181"	"Unclass"	"S01"
"DLBCL11466"	"DLBCL11466"	"ABC"	"S01"
"DLBCL10874"	"DLBCL10874"	"ABC"	"S01"
"DLBCL10503"	"DLBCL10503"	"ABC"	"S01"
"DLBCL10550"	"DLBCL10550"	"ABC"	"S01"
"DLBCL11682"	"DLBCL11682"	"Unclass"	"S01"
"DLBCL10543"	"DLBCL10543"	"GCB"	"S01"
