"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"CTSP.ACY8"	"CTSP.ACY8"	"LE1"	0.0731503323116111	0.0961825528127481	TRUE	"LE1"
"CTSP.ACYX"	"CTSP.ACYX"	"LE1"	0.122333189976136	0.143500955432681	TRUE	"LE1"
"CTSP.ACZC"	"CTSP.ACZC"	"LE1"	0.217370934918937	0.238377369806061	TRUE	"LE1"
"CTSP.ACZS"	"CTSP.ACZS"	"LE1"	0.048687980085445	0.0688756791452636	TRUE	"LE1"
"CTSP.ACZW"	"CTSP.ACZW"	"LE1"	0.0272021265648088	0.0445125707424144	TRUE	"LE1"
"CTSP.AD1Z"	"CTSP.AD1Z"	"LE1"	0.0848030989927921	0.107706125728072	TRUE	"LE1"
"CTSP.AD28"	"CTSP.AD28"	"LE1"	0.184849740662712	0.205738943765321	TRUE	"LE1"
"CTSP.AD2E"	"CTSP.AD2E"	"LE1"	0.00372137563202322	0.00887012821879508	TRUE	"LE1"
"CTSP.AD4V"	"CTSP.AD4V"	"LE1"	0.139739950007198	0.160809483951081	TRUE	"LE1"
"CTSP.B02D"	"CTSP.B02D"	"LE1"	0.0892445572509239	0.112525746098991	TRUE	"LE1"
"CTSP.B02F"	"CTSP.B02F"	"LE1"	2.19920151969466e-12	1.2755368814229e-10	TRUE	"LE1"
"CTSP.B02H"	"CTSP.B02H"	"LE1"	0.104328745493303	0.125482961169364	TRUE	"LE1"
"DLBCL10116"	"DLBCL10116"	"LE1"	0.0608032595110627	0.082503433021449	TRUE	"LE1"
"DLBCL10463"	"DLBCL10463"	"LE1"	9.50763868709871e-05	0.000527977382411226	TRUE	"LE1"
"DLBCL10471"	"DLBCL10471"	"LE1"	0.01438355832258	0.025538154572744	TRUE	"LE1"
"DLBCL10485"	"DLBCL10485"	"LE1"	0.111436358209124	0.13190426073733	TRUE	"LE1"
"DLBCL10499"	"DLBCL10499"	"LE1"	0.0563082743892262	0.0775538765994091	TRUE	"LE1"
"DLBCL10507"	"DLBCL10507"	"LE1"	0.00147366269184131	0.00420356243246536	TRUE	"LE1"
"DLBCL10508"	"DLBCL10508"	"LE1"	0.0307244975235159	0.0488969137416929	TRUE	"LE1"
"DLBCL10509"	"DLBCL10509"	"LE1"	4.10624794519955e-05	0.000261397735048069	TRUE	"LE1"
"DLBCL10529"	"DLBCL10529"	"LE1"	0.0533000412733184	0.0743565517991383	TRUE	"LE1"
"DLBCL10530"	"DLBCL10530"	"LE1"	0.0959002429227227	0.118344980628041	TRUE	"LE1"
"DLBCL10540"	"DLBCL10540"	"LE1"	0.000357954739455344	0.00145978417184132	TRUE	"LE1"
"DLBCL10546"	"DLBCL10546"	"LE1"	0.0916953563416396	0.115337291591171	TRUE	"LE1"
"DLBCL10550"	"DLBCL10550"	"LE1"	0.0153512441270336	0.0270721264672686	TRUE	"LE1"
"DLBCL10833"	"DLBCL10833"	"LE1"	0.00717066949498568	0.0147948200647531	TRUE	"LE1"
"DLBCL10847"	"DLBCL10847"	"LE1"	0.0460324577609084	0.0665621688398731	TRUE	"LE1"
"DLBCL10848"	"DLBCL10848"	"LE1"	0.103697783045097	0.125301487846159	TRUE	"LE1"
"DLBCL10849"	"DLBCL10849"	"LE1"	0.0170945743572876	0.0296457402475221	TRUE	"LE1"
"DLBCL10857"	"DLBCL10857"	"LE1"	0.0473270147051723	0.0680570294107436	TRUE	"LE1"
"DLBCL10859"	"DLBCL10859"	"LE1"	0.0523169902488976	0.0735919112222029	TRUE	"LE1"
"DLBCL10866"	"DLBCL10866"	"LE1"	1.69869858443451e-05	0.000130400097216885	TRUE	"LE1"
"DLBCL10870"	"DLBCL10870"	"LE1"	0.103290424353882	0.125098843416999	TRUE	"LE1"
"DLBCL10876"	"DLBCL10876"	"LE1"	0.0134704253282419	0.0242467655908355	TRUE	"LE1"
"DLBCL10881"	"DLBCL10881"	"LE1"	0.0339524758255697	0.0518221999442906	TRUE	"LE1"
"DLBCL10884"	"DLBCL10884"	"LE1"	0.00903767646779992	0.0181448735238137	TRUE	"LE1"
"DLBCL10891"	"DLBCL10891"	"LE1"	0.162216094181755	0.183283119400165	TRUE	"LE1"
"DLBCL10893"	"DLBCL10893"	"LE1"	0.0476748212121621	0.0683688370130457	TRUE	"LE1"
"DLBCL10895"	"DLBCL10895"	"LE1"	9.49527858385313e-07	1.12648532290258e-05	TRUE	"LE1"
"DLBCL10900"	"DLBCL10900"	"LE1"	0.0439415560870505	0.0640712074788836	TRUE	"LE1"
"DLBCL10901"	"DLBCL10901"	"LE1"	0.00319540705021101	0.00783099755967205	TRUE	"LE1"
"DLBCL10916"	"DLBCL10916"	"LE1"	0.0278510222561521	0.0452904474072006	TRUE	"LE1"
"DLBCL10917"	"DLBCL10917"	"LE1"	0.0313630788892214	0.0497614807908011	TRUE	"LE1"
"DLBCL10919"	"DLBCL10919"	"LE1"	5.03589387258827e-06	4.61181859910715e-05	TRUE	"LE1"
"DLBCL10921"	"DLBCL10921"	"LE1"	0.000845803431081173	0.00291488065306096	TRUE	"LE1"
"DLBCL10924"	"DLBCL10924"	"LE1"	0.138509992519937	0.159960655078335	TRUE	"LE1"
"DLBCL10943"	"DLBCL10943"	"LE1"	0.0533709612134227	0.0743565517991383	TRUE	"LE1"
"DLBCL10954"	"DLBCL10954"	"LE1"	9.64684126726501e-09	2.28893233705106e-07	TRUE	"LE1"
"DLBCL10956"	"DLBCL10956"	"LE1"	0.0042263687344625	0.00993767783508749	TRUE	"LE1"
"DLBCL10961"	"DLBCL10961"	"LE1"	0.0831103046463825	0.106332301532872	TRUE	"LE1"
"DLBCL10963"	"DLBCL10963"	"LE1"	0.100434312442676	0.122492315642703	TRUE	"LE1"
"DLBCL10964"	"DLBCL10964"	"LE1"	0.00585698619911848	0.0125301098194256	TRUE	"LE1"
"DLBCL10969"	"DLBCL10969"	"LE1"	0.0920256638279711	0.11547451086106	TRUE	"LE1"
"DLBCL10972"	"DLBCL10972"	"LE1"	0.0820011915299853	0.105631344315506	TRUE	"LE1"
"DLBCL10975"	"DLBCL10975"	"LE1"	0.0944377946578105	0.1176196000255	TRUE	"LE1"
"DLBCL10977"	"DLBCL10977"	"LE1"	0.112726405453585	0.133129374766452	TRUE	"LE1"
"DLBCL10980"	"DLBCL10980"	"LE1"	0.109976848536793	0.130769737895685	TRUE	"LE1"
"DLBCL10981"	"DLBCL10981"	"LE1"	0.0709423129569692	0.0942287210268141	TRUE	"LE1"
"DLBCL10983"	"DLBCL10983"	"LE1"	1.04709680278225e-07	1.65631676076465e-06	TRUE	"LE1"
"DLBCL10986"	"DLBCL10986"	"LE1"	0.00961844869067602	0.018946529118992	TRUE	"LE1"
"DLBCL10987"	"DLBCL10987"	"LE1"	0.0132042753997905	0.0238499368812824	TRUE	"LE1"
"DLBCL10988"	"DLBCL10988"	"LE1"	0.158008548063455	0.17969599583687	TRUE	"LE1"
"DLBCL10990"	"DLBCL10990"	"LE1"	0.0303808883071222	0.0485409255735441	TRUE	"LE1"
"DLBCL10994"	"DLBCL10994"	"LE1"	0.15218751880786	0.174214659687945	TRUE	"LE1"
"DLBCL11180"	"DLBCL11180"	"LE1"	0.16591199252113	0.187054125477386	TRUE	"LE1"
"DLBCL11182"	"DLBCL11182"	"LE1"	0.0338349520930106	0.0518054443597814	TRUE	"LE1"
"DLBCL11184"	"DLBCL11184"	"LE1"	0.032417664102391	0.050213711161567	TRUE	"LE1"
"DLBCL11185"	"DLBCL11185"	"LE1"	0.0847434324354063	0.107706125728072	TRUE	"LE1"
"DLBCL11187"	"DLBCL11187"	"LE1"	0.00278194509031508	0.00701533979296846	TRUE	"LE1"
"DLBCL11194"	"DLBCL11194"	"LE1"	0.0250443349433702	0.0415020407632992	TRUE	"LE1"
"DLBCL11255"	"DLBCL11255"	"LE1"	0.000368446917984484	0.00148127565059799	TRUE	"LE1"
"DLBCL11259"	"DLBCL11259"	"LE1"	0.110763874616759	0.131406233068064	TRUE	"LE1"
"DLBCL11260"	"DLBCL11260"	"LE1"	0.0266657019641009	0.0440490393204451	TRUE	"LE1"
"DLBCL11261"	"DLBCL11261"	"LE1"	0.0198971854806682	0.0339422575846693	TRUE	"LE1"
"DLBCL11262"	"DLBCL11262"	"LE1"	0.0381918101758767	0.056960356890879	TRUE	"LE1"
"DLBCL11353"	"DLBCL11353"	"LE1"	0.157378061611589	0.179369755810589	TRUE	"LE1"
"DLBCL11435"	"DLBCL11435"	"LE1"	0.160898247420258	0.182584532942119	TRUE	"LE1"
"DLBCL11440"	"DLBCL11440"	"LE1"	0.0166840779808266	0.0292251298858774	TRUE	"LE1"
"DLBCL11449"	"DLBCL11449"	"LE1"	0.0768702983283846	0.100567157211571	TRUE	"LE1"
"DLBCL11450"	"DLBCL11450"	"LE1"	0.00332813180395701	0.0080941306874596	TRUE	"LE1"
"DLBCL11482"	"DLBCL11482"	"LE1"	0.00746911840367338	0.0152897247322255	TRUE	"LE1"
"DLBCL11488"	"DLBCL11488"	"LE1"	0.103045684293401	0.125092667909664	TRUE	"LE1"
"DLBCL11490"	"DLBCL11490"	"LE1"	0.0321683595088382	0.0502017507242774	TRUE	"LE1"
"DLBCL11493"	"DLBCL11493"	"LE1"	0.179935177659758	0.201126686805982	TRUE	"LE1"
"DLBCL11499"	"DLBCL11499"	"LE1"	0.0442791601381507	0.0643836256047763	TRUE	"LE1"
"DLBCL11500"	"DLBCL11500"	"LE1"	6.07883140531189e-06	5.28858332262134e-05	TRUE	"LE1"
"DLBCL11501"	"DLBCL11501"	"LE1"	0.100738243636459	0.122576604145062	TRUE	"LE1"
"DLBCL11515"	"DLBCL11515"	"LE1"	0.0986132833406518	0.121120315067812	TRUE	"LE1"
"DLBCL11516"	"DLBCL11516"	"LE1"	0.00637048076876199	0.0134631213007845	TRUE	"LE1"
"DLBCL11649"	"DLBCL11649"	"LE1"	0.0323523644402864	0.050213711161567	TRUE	"LE1"
"CTSP.AD4F"	"CTSP.AD4F"	"LE2"	0.0106261238058284	0.0201752002531964	TRUE	"LE2"
"CTSP.B02I"	"CTSP.B02I"	"LE2"	0.00529277386730876	0.0117068981302338	TRUE	"LE2"
"DLBCL10458"	"DLBCL10458"	"LE2"	0.0524448102962825	0.0735919112222029	TRUE	"LE2"
"DLBCL10477"	"DLBCL10477"	"LE2"	0.00870028149926503	0.0176386807681621	TRUE	"LE2"
"DLBCL10517"	"DLBCL10517"	"LE2"	0.181137108671401	0.202037544287332	TRUE	"LE2"
"DLBCL10837"	"DLBCL10837"	"LE2"	0.000746872741114111	0.00267032582781894	TRUE	"LE2"
"DLBCL10850"	"DLBCL10850"	"LE2"	0.214579238082363	0.235811289008407	TRUE	"LE2"
"DLBCL10851"	"DLBCL10851"	"LE2"	0.222943673631008	0.243976095671669	TRUE	"LE2"
"DLBCL10863"	"DLBCL10863"	"LE2"	0.190016357254001	0.211039443588487	TRUE	"LE2"
"DLBCL10897"	"DLBCL10897"	"LE2"	0.226776953425383	0.247651819431067	TRUE	"LE2"
"DLBCL10913"	"DLBCL10913"	"LE2"	0.171637471888549	0.192849726414523	TRUE	"LE2"
"DLBCL10970"	"DLBCL10970"	"LE2"	0.171791422955466	0.192849726414523	TRUE	"LE2"
"DLBCL10978"	"DLBCL10978"	"LE2"	0.207896311953392	0.229433139195921	TRUE	"LE2"
"DLBCL10985"	"DLBCL10985"	"LE2"	1.60647089355468e-06	1.86350623652343e-05	TRUE	"LE2"
"DLBCL11258"	"DLBCL11258"	"LE2"	0.0717252872153195	0.0950269033664893	TRUE	"LE2"
"CTSP.ACY6"	"CTSP.ACY6"	"LE3"	0.104025242288364	0.125406874075118	TRUE	"LE3"
"CTSP.ACYJ"	"CTSP.ACYJ"	"LE3"	0.0972556920650902	0.119734602023531	TRUE	"LE3"
"CTSP.ACYP"	"CTSP.ACYP"	"LE3"	0.128962648319903	0.15026451433703	TRUE	"LE3"
"CTSP.ACYS"	"CTSP.ACYS"	"LE3"	0.0349555108422824	0.0531615071282566	TRUE	"LE3"
"CTSP.ACZT"	"CTSP.ACZT"	"LE3"	0.0398975504502127	0.0589986440085298	TRUE	"LE3"
"CTSP.AD05"	"CTSP.AD05"	"LE3"	0.0818043359869418	0.105631344315506	TRUE	"LE3"
"CTSP.AD13"	"CTSP.AD13"	"LE3"	0.00231696128871942	0.00601718304831612	TRUE	"LE3"
"CTSP.AD1R"	"CTSP.AD1R"	"LE3"	0.0480100847696351	0.0686609979445193	TRUE	"LE3"
"CTSP.AD4C"	"CTSP.AD4C"	"LE3"	0.0859786988153516	0.108670413514803	TRUE	"LE3"
"CTSP.AD4K"	"CTSP.AD4K"	"LE3"	0.123288439430699	0.14397441920095	TRUE	"LE3"
"DLBCL10450"	"DLBCL10450"	"LE3"	0.0168238889627173	0.0293714717007974	TRUE	"LE3"
"DLBCL10452"	"DLBCL10452"	"LE3"	1.46798362529032e-15	2.55429150800516e-13	TRUE	"LE3"
"DLBCL10461"	"DLBCL10461"	"LE3"	0.122838430993067	0.143770540310271	TRUE	"LE3"
"DLBCL10469"	"DLBCL10469"	"LE3"	0.00181464118528486	0.00493355572249322	TRUE	"LE3"
