"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"13"	"TCGA.85.7950.01A.11R.2187.07"	"CE1"	0.0137175108689401	0.0248505631683697	TRUE	"CE1"
"17"	"TCGA.44.6775.01A.11R.1858.07"	"CE1"	0.000698895920095631	0.00264733303066527	TRUE	"CE1"
"40"	"TCGA.44.8120.01A.11R.2241.07"	"CE1"	0.000288201380018754	0.00161499682675298	TRUE	"CE1"
"51"	"TCGA.18.3417.01A.01R.1443.07"	"CE1"	1.90617879598483e-05	0.000434018785356094	TRUE	"CE1"
"54"	"TCGA.50.5946.02A.11R.2090.07"	"CE1"	0.000154968444917966	0.00117400337059065	TRUE	"CE1"
"61"	"TCGA.60.2703.01A.11R.2045.07"	"CE1"	0.000572171977459222	0.00234496712073452	TRUE	"CE1"
"62"	"TCGA.44.3396.01A.01R.1206.07"	"CE1"	0.00785955405925462	0.0163740709567805	TRUE	"CE1"
"63"	"TCGA.22.4595.01A.01R.1201.07"	"CE1"	0.0324158681043236	0.0485267486591671	TRUE	"CE1"
"66"	"TCGA.55.7815.01A.11R.2170.07"	"CE1"	0.0530702592535629	0.0725003541715341	TRUE	"CE1"
"68"	"TCGA.J2.8194.01A.11R.2241.07"	"CE1"	0.0537008742403434	0.072568748973437	TRUE	"CE1"
"76"	"TCGA.56.8503.01A.11R.2403.07"	"CE1"	0.000779332914119245	0.00286519453720311	TRUE	"CE1"
"77"	"TCGA.66.2788.01A.01R.0980.07"	"CE1"	0.00653960973952459	0.0144681631405411	TRUE	"CE1"
"87"	"TCGA.92.7340.01A.21R.2045.07"	"CE1"	0.000290699428815536	0.00161499682675298	TRUE	"CE1"
"106"	"TCGA.34.5239.01A.21R.1820.07"	"CE1"	0.000685519313018817	0.00263661274238007	TRUE	"CE1"
"110"	"TCGA.69.7978.01A.11R.2187.07"	"CE1"	0.0501814138819453	0.0704348693443769	TRUE	"CE1"
"129"	"TCGA.86.6562.01A.11R.1755.07"	"CE1"	0.000368698295369789	0.00180734458514602	TRUE	"CE1"
"130"	"TCGA.46.3767.01A.01R.0980.07"	"CE1"	0.000259537263721657	0.00150893757977707	TRUE	"CE1"
"131"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"CE1"	0.00226575314493119	0.00658649170038137	TRUE	"CE1"
"132"	"TCGA.85.8287.01A.11R.2296.07"	"CE1"	0.00314766639441193	0.0082833326168735	TRUE	"CE1"
"137"	"TCGA.56.7731.01A.11R.2125.07"	"CE1"	0.0116509328061693	0.0222346045919261	TRUE	"CE1"
"143"	"TCGA.64.1679.01A.21R.2066.07"	"CE1"	0.000177101285212314	0.00130221533244348	TRUE	"CE1"
"156"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"CE1"	0.00125148961793519	0.00401118467286918	TRUE	"CE1"
"157"	"TCGA.77.8139.01A.11R.2247.07"	"CE1"	0.00818775306897504	0.0167587140827409	TRUE	"CE1"
"158"	"TCGA.64.5815.01A.01R.1628.07"	"CE1"	8.63760228043698e-05	0.000912270041107025	TRUE	"CE1"
"172"	"TCGA.55.8091.01A.11R.2241.07"	"CE1"	0.000207261778560452	0.00131146594463192	TRUE	"CE1"
"178"	"TCGA.22.5489.01A.01R.1635.07"	"CE1"	0.0168236136761094	0.0296190381621645	TRUE	"CE1"
"190"	"TCGA.55.8090.01A.11R.2241.07"	"CE1"	0.0981020556276256	0.122358441465303	TRUE	"CE1"
"191"	"TCGA.90.7767.01A.11R.2125.07"	"CE1"	0.0117551999999902	0.0222636363636178	TRUE	"CE1"
"192"	"TCGA.60.2704.01A.11R.2045.07"	"CE1"	0.0283679089266626	0.043777637232504	TRUE	"CE1"
"195"	"TCGA.85.6561.01A.11R.1820.07"	"CE1"	0.00543668205825614	0.0128353439132533	TRUE	"CE1"
"202"	"TCGA.77.8008.01A.21R.2187.07"	"CE1"	0.000256529999454973	0.00150893757977707	TRUE	"CE1"
"209"	"TCGA.44.4112.01A.01R.1107.07"	"CE1"	0.00258946317850576	0.007184614426642	TRUE	"CE1"
"221"	"TCGA.46.3766.01A.01R.0980.07"	"CE1"	0.00175112147294131	0.0052744622678955	TRUE	"CE1"
"223"	"TCGA.97.8547.01A.11R.2403.07"	"CE1"	1.2260149992716e-05	0.000415479762256147	TRUE	"CE1"
"231"	"TCGA.55.6642.01A.11R.1858.07"	"CE1"	0.000386679360020295	0.00185903538471296	TRUE	"CE1"
"233"	"TCGA.64.5775.01A.01R.1628.07"	"CE1"	0.00261519965129769	0.007184614426642	TRUE	"CE1"
"235"	"TCGA.85.8288.01A.11R.2296.07"	"CE1"	0.000209834551141107	0.00131146594463192	TRUE	"CE1"
"241"	"TCGA.98.7454.01A.11R.2045.07"	"CE1"	0.048750845636924	0.0696440651956057	TRUE	"CE1"
"246"	"TCGA.68.7757.01B.11R.2296.07"	"CE1"	0.000132566431780225	0.00105862237318487	TRUE	"CE1"
"247"	"TCGA.77.8007.01A.11R.2187.07"	"CE1"	0.0294786677135272	0.0449369934657426	TRUE	"CE1"
"9"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"CE2"	0.05811974543754	0.077700194435214	TRUE	"CE2"
"24"	"TCGA.63.A5MM.01A.11R.A26W.07"	"CE2"	0.0340364641786331	0.0499900446426222	TRUE	"CE2"
"38"	"TCGA.66.2781.01A.01R.0851.07"	"CE2"	0.11202614248229	0.136617246929622	TRUE	"CE2"
"50"	"TCGA.43.5670.01A.21R.2125.07"	"CE2"	0.120682457718809	0.14505103091203	TRUE	"CE2"
"67"	"TCGA.18.3406.01A.01R.0980.07"	"CE2"	0.187508686822237	0.215032897731923	TRUE	"CE2"
"71"	"TCGA.85.A4JB.01A.51R.A262.07"	"CE2"	0.0964539567189003	0.121539465390315	TRUE	"CE2"
"78"	"TCGA.94.7557.01A.11R.2125.07"	"CE2"	0.0800754135751181	0.102660786634767	TRUE	"CE2"
"107"	"TCGA.63.5128.01A.01R.1443.07"	"CE2"	0.201773087538384	0.225193178056232	TRUE	"CE2"
"115"	"TCGA.34.5241.01A.01R.1443.07"	"CE2"	0.162476789851932	0.19070045757269	TRUE	"CE2"
"119"	"TCGA.33.4566.01A.01R.1443.07"	"CE2"	0.00662180154162492	0.014492181830488	TRUE	"CE2"
"125"	"TCGA.85.7843.01A.11R.2125.07"	"CE2"	0.117714494168666	0.14285739583576	TRUE	"CE2"
"136"	"TCGA.56.5898.01A.11R.1635.07"	"CE2"	0.193092684753253	0.219003472847803	TRUE	"CE2"
"140"	"TCGA.43.A56V.01A.11R.A26W.07"	"CE2"	0.167507989576505	0.194776732065704	TRUE	"CE2"
"146"	"TCGA.21.5786.01A.01R.1635.07"	"CE2"	0.201659649555071	0.225193178056232	TRUE	"CE2"
"159"	"TCGA.63.A5MT.01A.21R.A26W.07"	"CE2"	0.0437530917448488	0.063227011191978	TRUE	"CE2"
"173"	"TCGA.85.8351.01A.11R.2296.07"	"CE2"	0.000103786595332709	0.000960986993821379	TRUE	"CE2"
"179"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"CE2"	0.200304043147824	0.225193178056232	TRUE	"CE2"
"201"	"TCGA.66.2768.01A.01R.0851.07"	"CE2"	0.000920959335375212	0.00324281456118032	TRUE	"CE2"
"210"	"TCGA.94.8491.01A.11R.2326.07"	"CE2"	0.173267770573686	0.200541401126952	TRUE	"CE2"
"216"	"TCGA.66.2759.01A.01R.0851.07"	"CE2"	0.17727491850873	0.20423377708379	TRUE	"CE2"
"218"	"TCGA.66.2786.01A.01R.0851.07"	"CE2"	0.0926493735387196	0.117575347130355	TRUE	"CE2"
"228"	"TCGA.51.4079.01A.01R.1100.07"	"CE2"	0.156410579218929	0.185320591491622	TRUE	"CE2"
"243"	"TCGA.33.4586.01A.01R.1443.07"	"CE2"	0.10573022781829	0.130209640170307	TRUE	"CE2"
