"ID"	"State"	"InitialState"	"COO"	"schmitz_labels"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"S01"	"IS06"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C01_830810"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C01_830810"	"S01"	"IS06"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C06_830812"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C06_830812"	"S01"	"IS06"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S01"	"IS06"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"S01"	"IS06"	"GCB"	"Other"
"MS2010072003"	"MS2010072003"	"S01"	"IS06"	"GCB"	"N1"
"MS2010072019"	"MS2010072019"	"S01"	"IS06"	"GCB"	"EZB"
"MS2010072024"	"MS2010072024"	"S01"	"IS06"	"GCB"	"BN2"
"MS2010072030"	"MS2010072030"	"S01"	"IS06"	"GCB"	"Other"
"MS2010072037"	"MS2010072037"	"S01"	"IS06"	"GCB"	"BN2"
"MS2010072040"	"MS2010072040"	"S01"	"IS06"	"GCB"	"EZB"
"MS2010072811"	"MS2010072811"	"S01"	"IS06"	"GCB"	"EZB"
"MS2010072829"	"MS2010072829"	"S01"	"IS06"	"GCB"	"EZB"
"MS2010072834"	"MS2010072834"	"S01"	"IS06"	"GCB"	"Other"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S02"	"IS01"	"GCB"	"EZB"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S02"	"IS01"	"ABC"	"Other"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS01"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S02"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"S02"	"IS01"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S02"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S02"	"IS01"	"ABC"	"MCD"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S02"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S02"	"IS01"	"GCB"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S02"	"IS01"	"ABC"	"N1"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S02"	"IS01"	"ABC"	"Other"
"MS2010072004"	"MS2010072004"	"S02"	"IS01"	"ABC"	"Other"
"MS2010072026"	"MS2010072026"	"S02"	"IS01"	"GCB"	"BN2"
"MS2010072034"	"MS2010072034"	"S02"	"IS01"	"ABC"	"Other"
"MS2010072828"	"MS2010072828"	"S02"	"IS01"	"ABC"	"BN2"
"MS2010072837"	"MS2010072837"	"S02"	"IS01"	"GCB"	"EZB"
"MS2010072921"	"MS2010072921"	"S02"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S03"	"IS03"	"Unclassified"	"Other"
"MS2010072001"	"MS2010072001"	"S03"	"IS03"	"Unclassified"	"Other"
"MS2010072036"	"MS2010072036"	"S03"	"IS03"	"Unclassified"	"BN2"
"MS2010072831"	"MS2010072831"	"S03"	"IS03"	"ABC"	"BN2"
"MS2010072835"	"MS2010072835"	"S03"	"IS03"	"Unclassified"	"MCD"
"MS2010072902"	"MS2010072902"	"S03"	"IS03"	"GCB"	"EZB"
"MS2010072917"	"MS2010072917"	"S03"	"IS03"	"Unclassified"	"BN2"
"MS2010072925"	"MS2010072925"	"S03"	"IS03"	"Unclassified"	"BN2"
"MS2010072930"	"MS2010072930"	"S03"	"IS03"	"ABC"	"BN2"
"MS2010072932"	"MS2010072932"	"S03"	"IS03"	"Unclassified"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S04"	"IS02"	"Unclassified"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"S04"	"IS02"	"ABC"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"S04"	"IS02"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S04"	"IS02"	"GCB"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S04"	"IS02"	"ABC"	"BN2"
"MS2010072038"	"MS2010072038"	"S04"	"IS02"	"Unclassified"	"BN2"
"MS2010072827"	"MS2010072827"	"S04"	"IS02"	"ABC"	"Other"
"MS2010072907"	"MS2010072907"	"S04"	"IS02"	"ABC"	"BN2"
"MS2010072908"	"MS2010072908"	"S04"	"IS02"	"ABC"	"BN2"
"MS2010072912"	"MS2010072912"	"S04"	"IS02"	"Unclassified"	"Other"
"MS2010072937"	"MS2010072937"	"S04"	"IS02"	"ABC"	"MCD"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"S05"	"IS05"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"S05"	"IS05"	"ABC"	"MCD"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"S05"	"IS05"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"S05"	"IS05"	"ABC"	"Other"
"MS2010072023"	"MS2010072023"	"S05"	"IS05"	"ABC"	"Other"
"MS2010072817"	"MS2010072817"	"S05"	"IS05"	"ABC"	"MCD"
"MS2010072821"	"MS2010072821"	"S05"	"IS05"	"ABC"	"MCD"
"MS2010072838"	"MS2010072838"	"S05"	"IS05"	"Unclassified"	"N1"
"MS2010072904"	"MS2010072904"	"S05"	"IS05"	"ABC"	"N1"
"MS2010072913"	"MS2010072913"	"S05"	"IS05"	"ABC"	"EZB"
"MS2010072916"	"MS2010072916"	"S05"	"IS05"	"ABC"	"Other"
