"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"6"	"MS2010072023"	"LE1"	0.0412324268369326	0.067983185532043	TRUE	"LE1"
"23"	"MS2010072817"	"LE1"	0.105214144874882	0.136052773545106	TRUE	"LE1"
"24"	"MS2010072821"	"LE1"	0.0197647911563409	0.0400637658574478	TRUE	"LE1"
"33"	"MS2010072838"	"LE1"	0.0426027962667469	0.067983185532043	TRUE	"LE1"
"39"	"MS2010072913"	"LE1"	0.0526964658367959	0.0806578558726467	TRUE	"LE1"
"40"	"MS2010072916"	"LE1"	0.102409415894414	0.134749231440019	TRUE	"LE1"
"52"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"LE1"	0.0972427011735208	0.132603683418437	TRUE	"LE1"
"54"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LE1"	0.125582369480619	0.149502820810261	TRUE	"LE1"
"59"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"LE1"	0.101790814313939	0.134749231440019	TRUE	"LE1"
"74"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"LE1"	0.156088063061914	0.174725443726023	TRUE	"LE1"
"26"	"MS2010072827"	"LE2"	0.149538556784274	0.17254448859724	TRUE	"LE2"
"38"	"MS2010072912"	"LE2"	0.0578714356971115	0.0868071535456672	TRUE	"LE2"
"47"	"MS2010072937"	"LE2"	0.15549098061272	0.174725443726023	TRUE	"LE2"
"17"	"MS2010072804"	"LE3"	2.57097469557737e-23	1.92823102168303e-21	TRUE	"LE3"
"19"	"MS2010072806"	"LE3"	0.0837219465050781	0.116280481257053	TRUE	"LE3"
"22"	"MS2010072816"	"LE3"	0.00145001785687404	0.00543756696327764	TRUE	"LE3"
"28"	"MS2010072829"	"LE3"	0.177252754491143	0.192666037490373	TRUE	"LE3"
"43"	"MS2010072922"	"LE3"	3.53898179751421e-05	0.000666007467362932	TRUE	"LE3"
"68"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"LE3"	0.0794372778281888	0.112411242209701	TRUE	"LE3"
"1"	"MS2010072001"	"LE4"	0.00105427351869709	0.00416160599485694	TRUE	"LE4"
"11"	"MS2010072034"	"LE4"	0.000231688616314992	0.00155997127355027	TRUE	"LE4"
"16"	"MS2010072042"	"LE4"	0.0625771105351364	0.0920251625516712	TRUE	"LE4"
"18"	"MS2010072805"	"LE4"	0.000291194637729384	0.00155997127355027	TRUE	"LE4"
"25"	"MS2010072824"	"LE4"	0.0162832224066237	0.034892619442765	TRUE	"LE4"
"35"	"MS2010072904"	"LE4"	0.000797818775684725	0.00373977551102215	TRUE	"LE4"
"42"	"MS2010072921"	"LE4"	0.000255174617686453	0.00155997127355027	TRUE	"LE4"
"48"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LE4"	0.00011424411085535	0.00118689708925504	TRUE	"LE4"
"50"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LE4"	0.000142427650710605	0.00118689708925504	TRUE	"LE4"
"51"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LE4"	5.0521337042312e-05	0.00075782005563468	TRUE	"LE4"
"12"	"MS2010072036"	"LE5"	0.0147482197917243	0.034892619442765	TRUE	"LE5"
"29"	"MS2010072831"	"LE5"	0.0154068747876261	0.034892619442765	TRUE	"LE5"
"34"	"MS2010072902"	"LE5"	0.0145693213627481	0.034892619442765	TRUE	"LE5"
"41"	"MS2010072917"	"LE5"	0.00101036435588116	0.00416160599485694	TRUE	"LE5"
"31"	"MS2010072835"	"LE6"	0.107246521611804	0.136330324082802	TRUE	"LE6"
"44"	"MS2010072925"	"LE6"	0.0264960087642711	0.0509538630082136	TRUE	"LE6"
"45"	"MS2010072930"	"LE6"	3.55203982593564e-05	0.000666007467362932	TRUE	"LE6"
"58"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LE6"	0.00101219557178679	0.00416160599485694	TRUE	"LE6"
"3"	"MS2010072004"	"LE7"	0.00731908300613006	0.020330786128139	TRUE	"LE7"
"8"	"MS2010072026"	"LE7"	0.0159105552458415	0.034892619442765	TRUE	"LE7"
