"ID"	"State"	"InitialState"	"COO"	"schmitz_labels"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S01"	"IS05"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S01"	"IS05"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S01"	"IS05"	"ABC"	"MCD"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S01"	"IS05"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S01"	"IS05"	"ABC"	"N1"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S01"	"IS05"	"ABC"	"Other"
"MS2010072001"	"MS2010072001"	"S01"	"IS05"	"Unclassified"	"Other"
"MS2010072023"	"MS2010072023"	"S01"	"IS05"	"ABC"	"Other"
"MS2010072034"	"MS2010072034"	"S01"	"IS05"	"ABC"	"Other"
"MS2010072805"	"MS2010072805"	"S01"	"IS05"	"ABC"	"Other"
"MS2010072828"	"MS2010072828"	"S01"	"IS05"	"ABC"	"BN2"
"MS2010072904"	"MS2010072904"	"S01"	"IS05"	"ABC"	"N1"
"MS2010072921"	"MS2010072921"	"S01"	"IS05"	"ABC"	"Other"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS03"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"S02"	"IS03"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S02"	"IS03"	"GCB"	"EZB"
"MS2010072019"	"MS2010072019"	"S02"	"IS03"	"GCB"	"EZB"
"MS2010072030"	"MS2010072030"	"S02"	"IS03"	"GCB"	"Other"
"MS2010072037"	"MS2010072037"	"S02"	"IS03"	"GCB"	"BN2"
"MS2010072040"	"MS2010072040"	"S02"	"IS03"	"GCB"	"EZB"
"MS2010072834"	"MS2010072834"	"S02"	"IS03"	"GCB"	"Other"
"MS2010072835"	"MS2010072835"	"S02"	"IS03"	"Unclassified"	"MCD"
"MS2010072912"	"MS2010072912"	"S02"	"IS03"	"Unclassified"	"Other"
"MS2010072922"	"MS2010072922"	"S02"	"IS03"	"GCB"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S03"	"IS04"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S03"	"IS04"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S03"	"IS04"	"Unclassified"	"Other"
"MS2010072004"	"MS2010072004"	"S03"	"IS04"	"ABC"	"Other"
"MS2010072813"	"MS2010072813"	"S03"	"IS04"	"ABC"	"Other"
"MS2010072837"	"MS2010072837"	"S03"	"IS04"	"GCB"	"EZB"
"MS2010072902"	"MS2010072902"	"S03"	"IS04"	"GCB"	"EZB"
"MS2010072930"	"MS2010072930"	"S03"	"IS04"	"ABC"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S04"	"IS07"	"Unclassified"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"S04"	"IS07"	"ABC"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"S04"	"IS07"	"GCB"	"EZB"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S04"	"IS07"	"ABC"	"Other"
