"ID"	"State"	"InitialState"	"COO"	"schmitz_labels"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"S01"	"IS01"	"ABC"	"MCD"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S01"	"IS01"	"Unclassified"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S01"	"IS01"	"GCB"	"EZB"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"S01"	"IS01"	"GCB"	"EZB"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S01"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"S01"	"IS01"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S01"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S01"	"IS01"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S01"	"IS01"	"GCB"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S01"	"IS01"	"ABC"	"N1"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S01"	"IS01"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S01"	"IS01"	"ABC"	"BN2"
"MS2010072001"	"MS2010072001"	"S01"	"IS01"	"Unclassified"	"Other"
"MS2010072004"	"MS2010072004"	"S01"	"IS01"	"ABC"	"Other"
"MS2010072026"	"MS2010072026"	"S01"	"IS01"	"GCB"	"BN2"
"MS2010072034"	"MS2010072034"	"S01"	"IS01"	"ABC"	"Other"
"MS2010072038"	"MS2010072038"	"S01"	"IS01"	"Unclassified"	"BN2"
"MS2010072813"	"MS2010072813"	"S01"	"IS01"	"ABC"	"Other"
"MS2010072821"	"MS2010072821"	"S01"	"IS01"	"ABC"	"MCD"
"MS2010072828"	"MS2010072828"	"S01"	"IS01"	"ABC"	"BN2"
"MS2010072837"	"MS2010072837"	"S01"	"IS01"	"GCB"	"EZB"
"MS2010072902"	"MS2010072902"	"S01"	"IS01"	"GCB"	"EZB"
"MS2010072921"	"MS2010072921"	"S01"	"IS01"	"ABC"	"Other"
"MS2010072932"	"MS2010072932"	"S01"	"IS01"	"Unclassified"	"BN2"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS02"	"GCB"	"EZB"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S02"	"IS02"	"ABC"	"MCD"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS02"	"ABC"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S02"	"IS02"	"Unclassified"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S02"	"IS02"	"GCB"	"Other"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"S02"	"IS02"	"GCB"	"Other"
"MS2010072042"	"MS2010072042"	"S02"	"IS02"	"ABC"	"BN2"
"MS2010072831"	"MS2010072831"	"S02"	"IS02"	"ABC"	"BN2"
"MS2010072834"	"MS2010072834"	"S02"	"IS02"	"GCB"	"Other"
"MS2010072835"	"MS2010072835"	"S02"	"IS02"	"Unclassified"	"MCD"
"MS2010072925"	"MS2010072925"	"S02"	"IS02"	"Unclassified"	"BN2"
"MS2010072930"	"MS2010072930"	"S02"	"IS02"	"ABC"	"BN2"
