"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"4"	"SMC02-T"	"CE1"	0.246645891500039	0.302967644476932	TRUE	"CE1"
"6"	"SMC03-T"	"CE1"	0.218557236928555	0.300516200776764	TRUE	"CE1"
"8"	"SMC04-T"	"CE1"	0.323887262302447	0.356275988532692	TRUE	"CE1"
"16"	"SMC08-T"	"CE1"	0.396960691386314	0.422571058572527	TRUE	"CE1"
"20"	"SMC10-T"	"CE1"	0.249092960353918	0.302967644476932	TRUE	"CE1"
"22"	"SMC14-T"	"CE1"	0.0842205850725489	0.174536131880569	TRUE	"CE1"
"23"	"SMC15-T"	"CE1"	0.229336729207076	0.30272448255334	TRUE	"CE1"
"25"	"SMC17-T"	"CE1"	0.109733416269147	0.174536131880569	TRUE	"CE1"
"28"	"SMC20-T"	"CE1"	0.0430419210769125	0.157820377282012	TRUE	"CE1"
"33"	"SMC25-T"	"CE2"	0.257063455919821	0.302967644476932	TRUE	"CE2"
"3"	"SMC02-N"	"CE6"	0.182348800477217	0.261630887641225	TRUE	"CE6"
"5"	"SMC03-N"	"CE6"	0.0641219486068571	0.164501977122364	TRUE	"CE6"
"19"	"SMC10-N"	"CE6"	0.0630843110324963	0.164501977122364	TRUE	"CE6"
"26"	"SMC18-T"	"CE6"	0.457521255807373	0.457521255807373	TRUE	"CE6"
"12"	"SMC06-T"	"CE9"	0.0565635025334898	0.164501977122364	TRUE	"CE9"
"18"	"SMC09-T"	"CE9"	0.0272283387294698	0.132815035330121	TRUE	"CE9"
"24"	"SMC16-T"	"CE9"	0.415600083847183	0.428587586467408	TRUE	"CE9"
"32"	"SMC24-T"	"CE9"	0.0309927041358424	0.132815035330121	TRUE	"CE9"
"1"	"SMC01-N"	"CE10"	0.0206223468686532	0.132815035330121	TRUE	"CE10"
"9"	"SMC05-N"	"CE10"	0.109638160158426	0.174536131880569	TRUE	"CE10"
"10"	"SMC05-T"	"CE10"	0.090360135567713	0.174536131880569	TRUE	"CE10"
"11"	"SMC06-N"	"CE10"	0.0965876800203627	0.174536131880569	TRUE	"CE10"
"13"	"SMC07-N"	"CE10"	0.0302732492198056	0.132815035330121	TRUE	"CE10"
"14"	"SMC07-T"	"CE10"	0.280888052143572	0.319631231749582	TRUE	"CE10"
"15"	"SMC08-N"	"CE10"	0.000175171603326455	0.00578066290977301	TRUE	"CE10"
"17"	"SMC09-N"	"CE10"	0.110527337693817	0.174536131880569	TRUE	"CE10"
"21"	"SMC11-T"	"CE10"	0.111068447560362	0.174536131880569	TRUE	"CE10"
"27"	"SMC19-T"	"CE10"	0.0271462034863426	0.132815035330121	TRUE	"CE10"
"29"	"SMC21-T"	"CE10"	0.143200179932305	0.214800269898457	TRUE	"CE10"
"31"	"SMC23-T"	"CE10"	0.0648038091694161	0.164501977122364	TRUE	"CE10"
